"t" "houseId" "Q" "Ta" "G" "Ws" "sunElev"
"2010-12-25" 17 NA -4.74798263888889 11.0187573206019 5.02630868055556 0.13356779552876
"2010-12-26" 17 NA -8.43628541666667 26.4583868055556 3.21340590277778 0.134029678040234
"2010-12-27" 17 NA -8.46559131944444 21.3084881712963 1.47915798611111 0.13429240442673
"2010-12-28" 17 NA -7.79878194444444 29.1606846238426 0.0722413194444445 0.134999834081781
"2010-12-29" 17 NA -5.29557951388889 26.0087789351852 1.85959652777778 0.135506185367759
"2010-12-30" 17 NA -5.74096875 20.941569537037 2.73795 0.136133407350831
"2010-12-31" 17 NA -5.24451805555556 20.0207990335648 1.75753993055556 0.136556101441685
"2011-01-01" 17 NA 1.15304201388889 35.4152445659722 3.410640625 0.137422850962884
"2011-01-02" 17 NA 1.40201319444444 36.2780064409722 4.56549930555556 0.13840878836923
"2011-01-03" 17 NA -2.29727951388889 37.7613128877315 1.14922361111111 0.139513247842195
"2011-01-04" 17 NA -3.43090277777778 36.5080327719907 1.16388923611111 0.140405212739594
"2011-01-05" 17 NA -0.886894444444444 12.300939224537 3.540559375 0.141413238565715
"2011-01-06" 17 NA -2.41919305555556 22.503972181713 3.61203194444444 0.142866877331476
"2011-01-07" 17 NA -0.261069791666667 13.5103634201389 2.24442847222222 0.144102324788907
"2011-01-08" 17 NA -0.149412847222222 30.6882420659722 2.05049965277778 0.14544935334492
"2011-01-09" 17 NA 3.33401319444444 20.1884892766204 3.244546875 0.146908096851387
"2011-01-10" 17 NA 1.120378125 26.0837678298611 3.399046875 0.148137076918684
"2011-01-11" 17 NA 0.357628125 13.0614121469907 2.72506736111111 0.149811557730912
"2011-01-12" 17 NA -1.297090625 28.5215689236111 2.25487395833333 0.151594572593785
"2011-01-13" 17 NA 1.50469652777778 26.019368587963 2.27966736111111 0.153483697470649
"2011-01-14" 17 NA 1.69455520833333 11.2590052604167 1.10553298611111 0.155131602136732
"2011-01-15" 17 NA 3.82017673611111 10.145368125 1.74513402777778 0.156879235412623
"2011-01-16" 17 NA 4.74841354166667 16.9777188483796 3.64242256944444 0.158725231679712
"2011-01-17" 17 NA 7.42841666666667 10.5632566261574 5.29731909722222 0.161022083391788
